DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2013-09-06 16:10:54",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:54",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:54",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:10:54",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:12:10",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:12:10",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:12:10",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:12:10",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:38:03",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:38:03",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:38:03",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:38:03",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:42:55",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
"2013-09-06 16:42:55",INFO,--,"Nie udało się odnależć produktu:8",123,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/catalog/model/checkout/statistics.php
